ticker,company_name,sector,business_nature,pass,score,technical_pass,fundamental_pass,close,ma50,ma150,ma200,high_52w,low_52w,ret_63d,eps_yoy_value,rev_yoy_value,roe_3y_avg_value,eps_ge_min_qtrs,rev_ge_min_qtrs,eps_consec_qtrs,rev_consec_qtrs,annual_revenue_uptrend,eps_pass,rev_pass,roe_pass,roe_std,roe_stable,roe_quality,audit_close_stooq,audit_close_diff_pct,audit_eps_yoy_sec,audit_rev_yoy_sec,audit_roe_avg_sec,fundamentals_used,fundamentals_source,note
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",False,5,False,False,29.219999313354492,28.160644454956056,28.509553464253745,28.875278091430665,33.8336067199707,17.160675048828125,-0.002884922232913145,-416.6666666666667,5.820489573889387,30.802494869341057,2,2,1,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
RF,Regions Financial Corporation,Financials,Regional Banks,False,5,True,False,28.1299991607666,27.4934659576416,26.472276178995767,26.12491425514221,30.655292510986328,18.31423568725586,-0.004192483980588357,14.099999999999998,7.3,11.895,3,0,2,0,False,True,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
UPS,United Parcel Service,Industrials,Air Freight & Logistics,False,5,True,False,106.44000244140625,105.55928680419922,97.5055413309733,95.14452457427979,118.34954833984375,80.0525894165039,-0.006404283158139679,-13.888888888888884,-61.186633630214956,39.03163269762397,1,1,1,1,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,False,5,True,False,188.82000732421875,169.23479919433595,168.72410420735676,162.25594024658204,191.6199951171875,103.52193450927734,-0.007159407436338694,48.93617021276595,13.185408921933096,9.609895364482565,3,1,2,1,False,True,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,False,5,True,False,146.35000610351562,141.22182327270508,137.13038925170898,136.8823099899292,161.07102966308594,94.84185028076172,-0.007482792991031051,4.90196078431373,4.095808383233535,2.102123174109662,2,0,2,0,True,False,True,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
RTX,RTX Corporation,Industrials,Aerospace & Defense,False,5,False,False,196.4199981689453,200.26335235595704,184.14577473958335,176.2597235107422,212.16000366210938,111.8616943359375,-0.013799744957079807,29.357798165137595,49.20528817587642,5.841717886472412,3,3,2,2,True,True,True,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
OMC,Omnicom Group,Communication Services,Advertising,False,5,False,False,78.66999816894531,76.8257292175293,75.9529970296224,75.25617527008056,84.95238494873047,66.60543823242188,-0.01713343317589322,-10.256410256410254,3.9792922268582887,15.432937823071628,2,2,1,1,True,False,True,True,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,False,5,False,False,273.7300109863281,248.37300018310546,260.87663991292317,255.51090599060058,306.7255554199219,201.18991088867188,-0.019431674784333275,3.7837837837837673,-2.958414736254533,17.028989008426993,1,0,1,0,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
UNH,UnitedHealth Group,Health Care,Managed Health Care,False,5,False,True,324.6300048828125,285.4082305908203,316.83213826497393,308.9094723510742,568.9953002929688,232.89077758789062,-0.03483073501468692,-60.215053763440864,12.240626859750048,18.148258137230965,3,1,3,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,False,5,False,False,192.6300048828125,216.9762826538086,194.92953094482422,190.35977157592774,236.27999877929688,148.0203857421875,-0.0356847515178329,-59.8,7.000000000000001,18.89,0,3,0,3,False,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
AIZ,Assurant,Financials,Multi-line Insurance,False,5,False,False,227.75999450683594,222.0292709350586,223.16724792480468,216.9860398864746,242.3254852294922,181.02825927734375,-0.03691163228367855,102.74509803921568,8.88903864945918,16.223232923238655,2,1,2,1,True,False,True,True,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
